(620, 44)
(625, 1947)
(1936, 1420)
(1716, 532)
(1866, 1859)
(1354, 268)
(1363, 1140)
(1241, 1541)
(1032, 330)
(1641, 1777)
(1229, 1823)
(1882, 909)
(153, 932)
(1684, 399)
(511, 1543)
(996, 1630)
(1312, 1857)
(1256, 1953)
(1865, 1243)
(576, 873)
(1514, 927)
(1838, 1662)
(1821, 517)
(1427, 788)
(1024, 663)
(1938, 1767)
(970, 274)
(476, 1060)
(737, 826)
(1505, 51)
(1082, 1782)
(1926, 1127)
(1871, 1039)
(1617, 1522)
(1162, 1634)
(466, 866)
(1244, 541)
(209, 1637)
(170, 486)
(1305, 618)
(626, 1013)
(758, 1806)
(1492, 1783)
(769, 1425)
(900, 1908)
(977, 282)
(419, 1702)
(464, 1463)
(877, 878)
(1582, 1286)
(1870, 679)
(616, 1740)
(1365, 1199)
(856, 10)
(1682, 1382)
(1727, 1295)
(1498, 1045)
(833, 1854)
(41, 206)
(240, 1318)
(984, 1516)
(1881, 953)
(1250, 1715)
(489, 756)
(578, 1084)
(89, 1283)
(54, 270)
(1972, 662)
(1894, 999)
(1896, 691)
(860, 1813)
(868, 276)
(1454, 1639)
(1416, 63)
(1976, 1873)
(56, 706)
(67, 892)
(1688, 1833)
(69, 1966)
(1864, 329)
(568, 1668)
(914, 755)
(169, 1406)
(96, 1849)
(624, 1303)
(1291, 989)
(1464, 386)
(555, 148)
(810, 774)
(897, 931)
(1889, 13)
(1710, 1439)
(1107, 670)
(912, 147)
(1005, 1278)
(1817, 1431)
(853, 79)
(1379, 1348)
(177, 1791)
(1273, 949)
(88, 1701)
(212, 348)
(1009, 1257)
(522, 254)
(1002, 1645)
(872, 623)
(1508, 959)
(1161, 735)
(1272, 822)
(913, 633)
(266, 1487)
(1929, 1766)
(1816, 1093)
(764, 1453)
(1417, 175)
(1403, 277)
(1808, 1238)
(1240, 390)
(1129, 791)
(272, 1903)
(1898, 875)
(1822, 1383)
(560, 1961)
(762, 1919)
(539, 935)
(1336, 196)
(888, 1915)
(1369, 629)
(1075, 1076)
(1413, 815)
(753, 369)
(685, 262)
(1602, 1654)
(627, 428)
(794, 834)
(214, 1799)
(1640, 1775)
(572, 1126)
(1160, 1812)
(1836, 1430)
(1465, 1276)
(583, 479)
(1192, 1090)
(976, 154)
(218, 1778)
(1713, 29)
(1792, 1104)
(896, 1613)
(842, 83)
(1036, 223)
(585, 1846)
(226, 763)
(974, 638)
(688, 1611)
(1153, 70)
(1285, 1839)
(1800, 317)
(569, 836)
(1232, 1940)
(1914, 1879)
(474, 1605)
(1105, 852)
(1011, 934)
(1869, 919)
(512, 1479)
(1818, 1133)
(668, 15)
(908, 1079)
(1091, 1927)
(1194, 1302)
(129, 551)
(1693, 1614)
(915, 566)
(1275, 207)
(1656, 1058)
(1496, 1356)
(1280, 142)
(64, 1971)
(376, 526)
(883, 613)
(1450, 980)
(410, 411)
(3, 1732)
(1193, 1422)
(245, 591)
(472, 252)
(1296, 1843)
(174, 1223)
(461, 1405)
(1779, 109)
(137, 527)
(164, 1447)
(1044, 14)
